objectid,dc_key,dispatch_date,hour,location_block,dc_dist,ucr_general,text_general_code,latitude,longitude
36299628,202412039455,NA,10,6600 BLOCK ELMWOOD AV,12,100,Homicide - Criminal,39.921247003038,-75.231570127612
36299690,202516062430,NA,17,3800 BLOCK BROWN ST,16,100,Homicide - Criminal,39.967864898717004,-75.19831028231
36299696,202525017283,NA,9,2800 BLOCK N MUTTER ST,25,100,Homicide - Criminal,39.992853731308,-75.133072446835
36299703,202518034967,NA,1,6000 BLOCK MARKET ST,18,100,Homicide - Criminal,39.961914517042,-75.24084797051
36299825,202516013955,NA,13,4000 BLOCK W GIRARD AV,16,100,Homicide - Criminal,39.974048051788,-75.204376555375
36299830,202502055585,NA,17,5000 BLOCK SUMMERDALE AV,02,100,Homicide - Criminal,40.029625580112,-75.094351798947
36299898,202524102080,NA,16,800 BLOCK E MADISON ST,24,100,Homicide - Criminal,39.997527845345,-75.115210526224
36299901,202503050548,NA,18,1300 BLOCK PACKER AV,03,100,Homicide - Criminal,39.911354965256,-75.170438714105
36299928,202425045576,NA,7,400 BLOCK E WYOMING AV,25,100,Homicide - Criminal,40.020731116266,-75.118236721305
36299938,202519033902,NA,0,3800 BLOCK CONSHOHOCKEN,19,100,Homicide - Criminal,40.003089520787,-75.204823828132
36299956,202522091512,NA,0,2100 BLOCK N 32ND ST,22,100,Homicide - Criminal,39.988506631401,-75.185443612617
36300003,202519018709,NA,2,100 BLOCK N 53RD ST,19,100,Homicide - Criminal,39.961875504864,-75.226578317394
36300039,202512112943,NA,18,2900 BLOCK ISLAND AV,12,100,Homicide - Criminal,39.903834600793,-75.240579343833
36300042,202515116894,NA,12,4200 BLOCK TORRESDALE AV,15,100,Homicide - Criminal,40.007301065335,-75.086821889901
36300043,202509103191,NA,18,1200 BLOCK CHESTNUT ST,09,100,Homicide - Criminal,39.95035066654,-75.160294580164
36300065,202524052221,NA,1,400 BLOCK E CAMBRIA ST,24,100,Homicide - Criminal,39.993117873885,-75.124124977243
36300100,202515036548,NA,1,5000 BLOCK FRANKFORD AVE,15,100,Homicide - Criminal,40.020728815512,-75.08011010461
36300139,202522032072,NA,19,2500 BLOCK CHADWICK ST,22,100,Homicide - Criminal,NA,NA
36300140,202516028614,NA,1,4100 BLOCK LANCASTER AVE,16,100,Homicide - Criminal,39.965077428385,-75.205570352225
36300157,202509118825,NA,11,1300 BLOCK WALNUT ST,09,100,Homicide - Criminal,39.949035693269,-75.162197151373
36300169,202519046475,NA,17,300 BLOCK N 63RD ST,19,100,Homicide - Criminal,39.967270474542,-75.245875391005
36300187,202522060352,NA,21,1500 BLOCK N GRATZ ST,22,100,Homicide - Criminal,39.976851832696,-75.165737746371
36300196,202535091437,NA,0,5900 BLOCK N LAMBERT ST,35,100,Homicide - Criminal,NA,NA
36300228,202524054340,NA,3,2800 BLOCK KENSINGTON AV,24,100,Homicide - Criminal,39.991509018801,-75.122541216661
36300239,202535096092,NA,3,300 BLOCK E SOMERVILLE AVE,35,100,Homicide - Criminal,NA,NA
36300252,202522024728,NA,19,1500 BLOCK N 18TH ST,22,100,Homicide - Criminal,39.976734895701,-75.164950131414
36300266,202522039240,NA,15,1900 BLOCK W BERKS ST,22,100,Homicide - Criminal,39.982688690105,-75.165272566675
36300276,202525058009,NA,1,600 BLOCK E THAYER ST,25,100,Homicide - Criminal,39.999885853733,-75.118702506852
36300289,202522042995,NA,22,2100 BLOCK N 21ST ST,22,100,Homicide - Criminal,39.986265983043,-75.168036975034
36300314,202519003018,NA,19,6100 BLOCK VINE ST,19,100,Homicide - Criminal,39.966775258794,-75.241856689541
36300321,202524041493,NA,17,3900 BLOCK M ST,24,100,Homicide - Criminal,40.006579934912,-75.100950538119
36300322,202526042876,NA,10,600 BLOCK W HUNTINGDON ST,26,100,Homicide - Criminal,39.990707059472,-75.14260550798
36300407,202524084963,NA,20,3000 BLOCK KENSINGTON AV,24,100,Homicide - Criminal,39.994001868239,-75.118026486847
36300430,202516010125,NA,23,900 BLOCK N 47TH ST,16,100,Homicide - Criminal,39.969142334412,-75.21584294267
36300439,202522080291,NA,20,3300 BLOCK RIDGE AV,22,100,Homicide - Criminal,NA,NA
36300466,202515095631,NA,4,4700 BLOCK SHELMIRE AV,15,100,Homicide - Criminal,40.032236396316,-75.030926102781
36300530,202517019136,NA,1,1500 BLOCK S ETTING ST,17,100,Homicide - Criminal,39.934466363809,-75.190044693567
36300531,202517019136,NA,1,1500 BLOCK S ETTING ST,17,100,Homicide - Criminal,39.934466363809,-75.190044693567
36300532,202517019136,NA,1,1500 BLOCK S ETTING ST,17,100,Homicide - Criminal,39.934466363809,-75.190044693567
36300541,202515052981,NA,16,700 BLOCK JERICHO RD,15,100,Homicide - Criminal,40.026268723104,-75.109814421895
36300572,202519029920,NA,19,900 BLOCK N 66TH ST,19,100,Homicide - Criminal,39.976834340752,-75.25240849498
36300617,202514039956,NA,23,7100 BLOCK OGONTZ AV,14,100,Homicide - Criminal,40.062244913469,-75.151852786204
36300674,202503006395,NA,22,400 BLOCK CROSS ST,03,100,Homicide - Criminal,39.928715536889,-75.152118857189
36300758,202509044877,NA,2,100 BLOCK S 18TH ST,09,100,Homicide - Criminal,39.951611363235,-75.170420223671
36300792,202412020241,NA,20,1300 BLOCK S 52ND ST,12,100,Homicide - Criminal,39.941523993124,-75.220180475788
36300867,202522054824,NA,2,1700 BLOCK W HUNTINGDON ST,22,100,Homicide - Criminal,39.99292094246,-75.159808896495
36300908,202539053950,NA,0,2000 BLOCK W LEHIGH AV,39,100,Homicide - Criminal,39.995125758013,-75.164178226201
36300925,202514051967,NA,6,200 BLOCK E RITTENHOUSE ST,14,100,Homicide - Criminal,40.03915613702,-75.174328071612
36300945,202512053418,NA,11,2200 BLOCK S FELTON ST,12,100,Homicide - Criminal,39.927709041825,-75.23114364154
36300953,202522080410,NA,3,2200 BLOCK N CHADWICK ST,22,100,Homicide - Criminal,39.986905203365,-75.16054857044
36300976,202519066271,NA,18,0 BLOCK N FRAZIER ST,19,100,Homicide - Criminal,NA,NA
36300979,202522079007,NA,17,2400 BLOCK N COLORADO ST,22,100,Homicide - Criminal,39.990126885346,-75.160985657715
36301025,202525084921,NA,4,2800 BLOCK N HOPE ST,25,100,Homicide - Criminal,39.99261126527,-75.131160435236
36301041,202522007043,NA,2,3000 BLOCK PAGE ST,22,100,Homicide - Criminal,39.986972007267,-75.182515940561
36301099,202524018822,NA,7,3300 BLOCK RAND ST,24,100,Homicide - Criminal,39.99807382079,-75.112480291609
36301105,202525035907,NA,1,3400 BLOCK N 5TH ST,25,100,Homicide - Criminal,40.00286168993,-75.137910025546
36301134,202525066100,NA,11,3800 BLOCK N FRANKLIN ST,25,100,Homicide - Criminal,40.009602984644,-75.140843489909
36301144,202525055196,NA,5,3600 BLOCK N 9TH ST,25,100,Homicide - Criminal,40.006785862171,-75.143125212503
36301165,202525089091,NA,11,4100 BLOCK OLD YORK RD,25,100,Homicide - Criminal,40.015023192515,-75.147286119531
36301203,202535097571,NA,15,4500 BLOCK N 16TH ST,35,100,Homicide - Criminal,40.021959768662,-75.151850888201
36301216,202525081756,NA,19,4600 BLOCK WHITAKER AV,25,100,Homicide - Criminal,40.018839925206,-75.115349871148
36301220,202519005216,NA,1,4800 BLOCK MERION AV,19,100,Homicide - Criminal,39.973689348127,-75.217978101447
36301231,202535017980,NA,19,4800 BLOCK N 11TH ST,35,100,Homicide - Criminal,40.025523827555,-75.142265784929
36301254,202519030764,NA,21,5000 BLOCK PARKSIDE AV,19,100,Homicide - Criminal,39.979909094843,-75.219352986138
36301313,202518019655,NA,23,5700 BLOCK LUDLOW ST,18,100,Homicide - Criminal,39.960412347155,-75.235115766977
36301326,202518048534,NA,23,5800 BLOCK ALTER ST,18,100,Homicide - Criminal,39.946831443371,-75.239939837595
36301339,202535060414,NA,6,5900 BLOCK MASCHER ST,35,100,Homicide - Criminal,40.040256295068,-75.122851224365
36301448,202516013152,NA,20,800 BLOCK N 41ST ST,16,100,Homicide - Criminal,39.967217947996,-75.205711669646
36301471,202522059808,NA,23,2000 BLOCK N WOODSTOCK ST,22,100,Homicide - Criminal,39.984582720794,-75.167141953377
36301502,202525017086,NA,18,100 BLOCK W INDIANA AV,25,100,Homicide - Criminal,39.995414196479,-75.130005645393
36301545,202539071667,NA,10,2800 BLOCK N VANPELT ST,39,100,Homicide - Criminal,39.997155837219,-75.166471247632
36301866,202522010841,NA,1,1600 BLOCK WILLINGTON ST,22,100,Homicide - Criminal,39.97785988102,-75.162281659465
36301928,202515006968,NA,22,4600 BLOCK FRANKFORD AVE,15,100,Homicide - Criminal,40.014863841586,-75.085535174699
36301935,202518060146,NA,11,5200 BLOCK WALNUT ST,18,100,Homicide - Criminal,39.956902465817,-75.22560287768
36301937,202518039434,NA,21,5500 BLOCK WALTON AV,18,100,Homicide - Criminal,39.950152426279,-75.233095328446
36301969,202512043165,NA,20,800 BLOCK S 55TH ST,12,100,Homicide - Criminal,39.948128376182,-75.233501208643
36301979,202516004463,NA,20,4100 BLOCK LEIDY AV,16,100,Homicide - Criminal,39.973807392252,-75.206897116557
36301995,202522002520,NA,4,2600 BLOCK N 27TH ST,22,100,Homicide - Criminal,39.995131083479,-75.175947792235
36302009,202535079935,NA,13,1100 BLOCK W ROCKLAND ST,35,100,Homicide - Criminal,NA,NA
36302022,202524043472,NA,0,2000 BLOCK E ALLEGHENY AV,24,100,Homicide - Criminal,39.994130320524,-75.111389984815
36302024,202522069941,NA,21,2000 BLOCK N BAMBREY ST,22,100,Homicide - Criminal,39.986338107426,-75.175668743995
36302033,202516025124,NA,21,800 BLOCK BROOKLYN ST,16,100,Homicide - Criminal,39.967016829465,-75.208289015429
36302034,202524081885,NA,10,3100 BLOCK AMBER ST,24,100,Homicide - Criminal,39.991030101913,-75.11204443135
36302112,202525008974,NA,22,100 BLOCK W LIPPINCOTT ST,25,100,Homicide - Criminal,39.997708553623,-75.130599049915
36302130,202539012850,NA,12,2700 BLOCK N BONSALL ST,39,100,Homicide - Criminal,39.995967903774,-75.169792124562
36302182,202501033407,NA,21,2100 BLOCK S BEECHWOOD ST,01,100,Homicide - Criminal,39.925943025172,-75.182259372599
36302266,202514063545,NA,19,6300 BLOCK GERMANTOWN AV,14,100,Homicide - Criminal,40.043256215487,-75.180990399247
36302268,202525028670,NA,7,1100 BLOCK W VENANGO ST,25,100,Homicide - Criminal,40.007024077332,-75.14710554556
36302322,202525084492,NA,13,3400 BLOCK HARTVILLE ST,25,100,Homicide - Criminal,40.000467654618,-75.11922609311
36302358,202522008435,NA,23,1500 BLOCK N CARLISLE ST,22,100,Homicide - Criminal,39.976051055734,-75.159527338625
36302374,202501014143,NA,17,2100 BLOCK BAILEY TER,01,100,Homicide - Criminal,39.926662546529,-75.190526594024
36302387,202524081524,NA,18,2900 BLOCK B ST,24,100,Homicide - Criminal,39.993528730861,-75.126434949642
36302426,202535038623,NA,20,4800 BLOCK N 9TH ST,35,100,Homicide - Criminal,40.025109933164,-75.139088592231
36302431,202514079668,NA,22,400 BLOCK E ABINGTON AV,14,100,Homicide - Criminal,40.076192441161,-75.197444715126
36302498,202505004810,NA,21,7000 BLOCK RIDGE AV,05,100,Homicide - Criminal,40.043857337781,-75.228637794597
36302499,202503052456,NA,17,700 BLOCK OREGON AV,03,100,Homicide - Criminal,39.915313876437,-75.160582727529
36302503,202502006225,NA,4,700 BLOCK ADAMS AV,02,100,Homicide - Criminal,40.033054545206,-75.106924188345
36302504,202502006225,NA,4,700 BLOCK ADAMS AV,02,100,Homicide - Criminal,40.033054545206,-75.106924188345
36302505,202515055428,NA,3,7200 BLOCK WALKER ST,15,100,Homicide - Criminal,40.033565485464,-75.04027728149
36302510,202512091462,NA,5,7400 BLOCK DICKS AV,12,100,Homicide - Criminal,39.910685785211,-75.24081060376
36302522,202503024202,NA,2,900 BLOCK S 8TH ST,03,100,Homicide - Criminal,39.938525800709,-75.156403108423
36302548,202517018515,NA,10,2000 BLOCK FERNON ST,17,100,Homicide - Criminal,39.931234755494,-75.178083130808
